                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5141,                0.77165,                 1.6949,                0.17163,                0.45579,                  0.125,                0.06241,                 1.7761,                    inf,                 2.4098,                0.07622,             0.00060976,             0.00060976
                      2,                 1.5084,                 0.5966,                 1.7142,                0.02034,                0.07867,                0.01096,                0.00427,                    nan,                    nan,                    nan,               0.051843,              0.0012337,              0.0012337
                      3,                   1.53,                0.63574,                 1.7154,                0.10526,                  0.386,                0.07746,                0.03408,                    nan,                    nan,                    nan,               0.027463,              0.0018533,              0.0018533
                      4,                 1.5943,                0.59616,                 1.7337,                0.38546,                0.70378,                0.36972,                0.18251,                    nan,                    nan,                    nan,              0.0030751,              0.0024654,              0.0024654
                      5,                 1.6286,                0.54837,                 1.7696,                0.67707,                0.56195,                0.61678,                0.32461,                 1.6378,                 1.2029,                 2.0899,              0.0024654,              0.0024654,              0.0024654
                      6,                 1.6127,                0.56107,                 1.7817,                0.59982,                 0.5854,                0.59109,                0.30429,                 1.6545,                0.92068,                 2.0522,              0.0024654,              0.0024654,              0.0024654
                      7,                 1.5232,                0.52223,                 1.7144,                0.70791,                0.63039,                0.68924,                0.36522,                 1.6771,                0.74744,                 1.9834,              0.0024462,              0.0024462,              0.0024462
                      8,                  1.486,                0.49182,                 1.6618,                0.73798,                0.72187,                0.76874,                 0.3929,                 1.6292,                0.60291,                 1.8892,              0.0024228,              0.0024228,              0.0024228
                      9,                 1.5122,                0.47487,                  1.693,                 0.7394,                0.71521,                0.77853,                0.42839,                 1.4953,                0.60381,                 1.7813,              0.0023953,              0.0023953,              0.0023953
                     10,                 1.4415,                0.45628,                 1.6284,                0.72227,                0.76044,                0.77927,                0.43284,                 1.4983,                  0.549,                 1.7152,              0.0023639,              0.0023639,              0.0023639
                     11,                 1.4219,                0.44138,                 1.6022,                0.77692,                0.77797,                 0.8266,                0.47866,                 1.4309,                 0.5184,                 1.6589,              0.0023288,              0.0023288,              0.0023288
                     12,                 1.3199,                0.41237,                 1.5458,                0.77654,                0.79773,                0.83636,                 0.4931,                 1.3731,                0.49553,                 1.6244,              0.0022899,              0.0022899,              0.0022899
                     13,                 1.3343,                0.39574,                 1.5535,                 0.8058,                0.80063,                0.85442,                0.50333,                 1.3814,                0.45873,                 1.6374,              0.0022476,              0.0022476,              0.0022476
                     14,                 1.3072,                0.39848,                 1.5321,                 0.8123,                0.81717,                0.85972,                0.50694,                 1.3866,                0.41842,                 1.6397,              0.0022019,              0.0022019,              0.0022019
                     15,                 1.3032,                0.37486,                 1.5342,                0.83593,                0.83117,                0.87385,                0.52474,                 1.3506,                0.38864,                 1.5931,               0.002153,               0.002153,               0.002153
                     16,                 1.2843,                0.36532,                 1.4981,                0.84003,                0.84095,                0.88662,                0.53507,                 1.3522,                 0.3855,                 1.6059,              0.0021012,              0.0021012,              0.0021012
                     17,                  1.273,                0.35467,                 1.5083,                0.84614,                0.84715,                0.88739,                0.53058,                 1.3753,                 0.3669,                 1.5918,              0.0020466,              0.0020466,              0.0020466
                     18,                 1.2372,                0.33324,                 1.4704,                0.84692,                0.84794,                0.88608,                0.54434,                  1.315,                0.35798,                 1.5638,              0.0019894,              0.0019894,              0.0019894
                     19,                  1.244,                0.33811,                 1.4756,                0.84124,                0.86243,                0.89058,                0.54209,                 1.3375,                0.36709,                 1.5803,              0.0019299,              0.0019299,              0.0019299
                     20,                 1.2462,                0.32851,                 1.4911,                0.83982,                0.85466,                0.88051,                0.52927,                  1.363,                0.36013,                 1.6122,              0.0018684,              0.0018684,              0.0018684
                     21,                  1.239,                0.33393,                 1.4821,                0.83838,                0.84486,                0.87726,                0.53593,                 1.3177,                0.37651,                 1.5841,              0.0018049,              0.0018049,              0.0018049
                     22,                 1.1958,                0.31352,                 1.4474,                0.84218,                0.83539,                0.88165,                0.53477,                 1.3513,                0.34771,                 1.5918,              0.0017399,              0.0017399,              0.0017399
                     23,                 1.1927,                0.31323,                 1.4509,                0.86393,                 0.8511,                0.89995,                0.56154,                 1.2853,                0.32467,                 1.5461,              0.0016736,              0.0016736,              0.0016736
                     24,                 1.1596,                0.30439,                 1.4458,                0.86657,                0.86204,                0.90094,                0.56054,                 1.2859,                0.32257,                 1.5526,              0.0016061,              0.0016061,              0.0016061
                     25,                 1.1447,                0.29133,                 1.4096,                0.87113,                0.85874,                0.90425,                0.56929,                 1.2851,                 0.3171,                 1.5348,              0.0015379,              0.0015379,              0.0015379
