                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.449,                 0.5927,                 1.5457,                0.57394,                0.70554,                 0.6721,                 0.3836,                 1.3816,                 1.8585,                  1.588,                0.08089,                0.00049,                0.00049
                      2,                 1.4414,                0.49969,                 1.5216,                 0.4604,                0.55236,                0.40977,                 0.2147,                 1.6384,                 1.0921,                 2.0636,                0.06139,             0.00098989,             0.00098989
                      3,                 1.4774,                0.53029,                 1.5336,                0.60134,                0.62419,                0.62919,                0.32221,                 1.5627,                0.75173,                  1.742,               0.041889,              0.0014893,              0.0014893
                      4,                 1.4163,                0.50401,                 1.4641,                0.78002,                0.74968,                0.79511,                0.41047,                 1.5622,                0.97815,                 1.7644,               0.022388,               0.001988,               0.001988
                      5,                 1.4448,                0.45653,                 1.4935,                0.20032,                0.26114,                0.10611,                0.05204,                 2.8662,                  2.633,                 3.6145,              0.0028856,              0.0024856,              0.0024856
                      6,                 1.4957,                0.50352,                 1.5252,                0.73721,                0.72532,                0.75764,                0.42824,                 1.5189,                 0.5169,                  1.556,              0.0024931,              0.0024931,              0.0024931
                      7,                 1.3862,                0.41488,                 1.4811,                0.30033,                0.60688,                 0.2409,                0.13972,                 1.4767,                 1.1938,                 1.5464,              0.0024931,              0.0024931,              0.0024931
                      8,                 1.3418,                0.39254,                 1.4182,                0.79156,                0.75671,                0.80792,                0.47187,                 1.3795,                0.47608,                 1.4806,                0.00249,                0.00249,                0.00249
                      9,                 1.3373,                0.37036,                 1.4178,                0.83897,                0.77283,                0.84287,                0.51273,                 1.3245,                0.40008,                 1.4227,              0.0024865,              0.0024865,              0.0024865
                     10,                 1.3129,                0.35278,                 1.3974,                0.81914,                 0.8055,                0.85268,                0.50145,                 1.3814,                0.38467,                 1.4436,              0.0024823,              0.0024823,              0.0024823
                     11,                 1.3134,                0.34762,                 1.3901,                0.80578,                0.78429,                0.85434,                0.50953,                 1.3387,                0.42783,                 1.4358,              0.0024776,              0.0024776,              0.0024776
                     12,                 1.2832,                 0.3377,                 1.3931,                 0.8341,                0.79533,                0.85869,                0.51522,                 1.3417,                0.39724,                 1.4567,              0.0024724,              0.0024724,              0.0024724
                     13,                 1.2531,                0.32249,                 1.3549,                0.84038,                 0.8224,                0.86697,                0.53607,                 1.2754,                0.33104,                 1.3959,              0.0024667,              0.0024667,              0.0024667
                     14,                 1.2135,                0.31111,                 1.3426,                0.85732,                0.84552,                0.89026,                0.54296,                 1.3109,                0.31152,                 1.4092,              0.0024604,              0.0024604,              0.0024604
                     15,                 1.2069,                0.31769,                 1.3425,                0.85091,                0.85819,                0.88723,                0.54292,                 1.2831,                0.31696,                 1.3933,              0.0024535,              0.0024535,              0.0024535
                     16,                 1.1897,                0.29976,                 1.3083,                0.83955,                0.83276,                0.87902,                 0.5457,                 1.2794,                0.31603,                 1.3863,              0.0024462,              0.0024462,              0.0024462
                     17,                 1.1935,                0.29854,                 1.3198,                0.84958,                0.85414,                0.88025,                0.53538,                 1.2887,                0.31128,                 1.3961,              0.0024383,              0.0024383,              0.0024383
                     18,                 1.1959,                0.29351,                 1.3269,                0.85253,                0.86181,                0.89843,                0.55974,                 1.3034,                0.29972,                  1.404,              0.0024299,              0.0024299,              0.0024299
                     19,                 1.1915,                0.29808,                 1.3176,                0.85484,                0.83946,                0.89683,                0.55322,                  1.292,                0.30705,                 1.3888,              0.0024209,              0.0024209,              0.0024209
                     20,                 1.1581,                0.28864,                 1.3048,                0.85897,                0.85158,                0.89154,                0.55703,                  1.255,                0.29848,                 1.3788,              0.0024115,              0.0024115,              0.0024115
                     21,                   1.18,                0.28097,                 1.3118,                0.85989,                0.84768,                0.89365,                0.55271,                 1.2862,                0.29736,                 1.3707,              0.0024015,              0.0024015,              0.0024015
                     22,                 1.1406,                0.27184,                 1.2848,                0.86379,                0.84518,                  0.892,                0.55485,                 1.2404,                0.30072,                 1.3752,              0.0023911,              0.0023911,              0.0023911
                     23,                 1.1143,                0.26345,                 1.2732,                 0.8714,                0.85616,                0.90619,                0.57222,                 1.2516,                0.28226,                 1.3751,              0.0023801,              0.0023801,              0.0023801
                     24,                 1.1293,                0.26301,                 1.2943,                0.86271,                0.86045,                0.90317,                0.56413,                   1.29,                0.28539,                 1.3912,              0.0023687,              0.0023687,              0.0023687
                     25,                  1.132,                0.26727,                 1.2937,                0.86872,                0.86188,                0.90608,                0.57153,                 1.2473,                0.28226,                 1.3882,              0.0023567,              0.0023567,              0.0023567
                     26,                 1.0894,                0.26251,                  1.257,                0.87245,                0.85353,                0.90482,                0.57076,                 1.2439,                0.28469,                 1.3688,              0.0023443,              0.0023443,              0.0023443
                     27,                 1.0894,                0.25404,                  1.266,                 0.8609,                0.84747,                0.89291,                0.55413,                 1.2632,                0.29109,                 1.4172,              0.0023314,              0.0023314,              0.0023314
                     28,                 1.0672,                 0.2442,                 1.2514,                0.88199,                0.85461,                 0.9018,                0.57722,                 1.2356,                0.27507,                 1.3794,               0.002318,               0.002318,               0.002318
                     29,                 1.0505,                 0.2436,                 1.2439,                0.86462,                0.84286,                0.89185,                0.56711,                 1.2496,                0.28392,                 1.3936,              0.0023042,              0.0023042,              0.0023042
                     30,                 1.0449,                0.23977,                 1.2463,                0.86942,                0.84703,                 0.8976,                0.56688,                 1.2609,                0.27807,                  1.385,              0.0022899,              0.0022899,              0.0022899
                     31,                 1.0279,                0.23552,                  1.227,                0.87855,                0.85093,                0.90558,                0.57725,                 1.2359,                0.27008,                 1.3739,              0.0022752,              0.0022752,              0.0022752
                     32,                  1.022,                0.23371,                 1.2154,                0.87157,                0.85161,                0.89941,                0.57613,                 1.2231,                0.27302,                  1.373,                0.00226,                0.00226,                0.00226
                     33,                 1.0235,                0.22883,                 1.2129,                 0.8695,                 0.8664,                0.90398,                  0.573,                 1.2631,                0.27338,                 1.3918,              0.0022444,              0.0022444,              0.0022444
                     34,                 1.0131,                0.22477,                 1.2175,                0.87252,                  0.873,                0.90936,                0.57628,                 1.2617,                0.26296,                 1.3861,              0.0022284,              0.0022284,              0.0022284
                     35,                 1.0018,                0.22354,                 1.2114,                0.87649,                0.85984,                0.90701,                0.57754,                 1.2374,                0.26269,                 1.3966,              0.0022119,              0.0022119,              0.0022119
