epoch,train_loss,train_ce_loss,train_supcon_loss,val_loss,val_top1,val_top5,lr,train_samples,val_samples,validated
1,4.982475187264237,4.969554199891932,0.08613993368747874,4.04249288364181,0.8764604067503245,0.975768065772393,0.00025,41624,4622,True
2,3.468977371851603,3.460555054874706,0.056148776249080774,,,,0.00025,41624,4622,False
3,2.277369346310661,2.269895807269535,0.04982359544769317,1.5433263222101394,0.8970142795326699,0.9805279099956729,0.00025,41624,4622,True
4,1.550200443916805,1.5432147391252176,0.046571364921203874,,,,0.00024797805558746333,41624,4622,False
5,1.1681547629654476,1.1616575755737506,0.04331458221703476,,,,0.00024198107724176724,41624,4622,False
6,0.9282563090186906,0.9229148721887441,0.03560956966087212,0.874263411319292,0.9123755949805279,0.9811769796624837,0.0002322132848678917,41624,4622,True
7,0.7766189132457236,0.7706265757515631,0.039948916996821425,,,,0.00021900730891995327,41624,4622,False
8,0.6734498276567514,0.668712886834502,0.031579603631006564,,,,0.0002028128630700367,41624,4622,False
9,0.6025497078758073,0.5978631520216303,0.03124370899227595,0.75081274742587,0.9264387710947641,0.9872349632193855,0.00018418142974846395,41624,4622,True
10,0.5489460265278954,0.5450286887921264,0.02611558400150904,,,,0.00016374748007105987,41624,4622,False
11,0.5009865322533775,0.49736371072655866,0.02415214589668192,,,,0.00014220686768626713,41624,4622,False
12,0.4690514916023444,0.46564479864867364,0.0227112836053277,0.6820756674122367,0.9489398528775422,0.9870186066637819,0.00012029313231373291,41624,4622,True
13,0.4401748572597592,0.43671890206402975,0.023039697317028287,,,,9.875251992894019e-05,41624,4622,False
14,0.41636493616450615,0.41333170037506084,0.02022156899633069,,,,7.831857025153615e-05,41624,4622,False
15,0.39608750709750384,0.39314179106979635,0.019638102790268945,0.6382107530796698,0.9593249675465166,0.9889658156642146,5.968713692996332e-05,41624,4622,True
16,0.38250064265494255,0.37995795663252835,0.016951239969931954,,,,4.349269108004671e-05,41624,4622,False
17,0.37115582400952246,0.3686881479919988,0.016451171205755438,,,,3.0286715132108338e-05,41624,4622,False
18,0.36529237605983683,0.3626214705467774,0.017806037297129824,0.6181310812718215,0.9632193855473821,0.9896148853310255,2.0518922758232762e-05,41624,4622,True
19,0.36051985573328627,0.35814139738489875,0.015856389562067502,,,,1.4521944412536664e-05,41624,4622,False
20,0.35687338144033975,0.35431450007283566,0.017059206339656057,0.6123517722420133,0.9636520986585894,0.9898312418866292,1.25e-05,41624,4622,True
